ЖУРНАЛ ЭКСПЕРИМЕНТОВ ЛАБОРАТОРИИ, 2025 г.
Записи ведут дежурные исследователи; каждый запуск получает номер run-N.

2025-01-09 | run-101 | MLP-3x256 | cifar10-subset | SGD+momentum, lr=0.1, batch=128, epochs=30 | val accuracy 0.8802 | loss на валидации немного шумит после 15-й эпохи.
2025-06-03 | run-415 | MLP-3x256 | tabular-credit | SGD+momentum, lr=3e-4, batch=64, epochs=50 | val accuracy 0.9561 | валидация стабильна между эпохами, переобучения не видно.
2025-06-03 | run-416 | ResNet-18 | cifar10-subset | SGD+momentum, lr=0.1, batch=256, epochs=20 | val accuracy 0.9641 | без замечаний, кривые обучения ровные.
2025-06-03 | run-417 | ResNet-18 | digits-aug | SGD+momentum, lr=1e-3, batch=128, epochs=50 | val accuracy 0.9346 | повторить с другим сидом для оценки разброса.
2025-06-04 | run-418 | LightGBM | cifar10-subset-v2 | AdamW, learning_rate=0.1, batch=64, epochs=20 | val accuracy 0.9569 | время эпохи в норме, узел gpu-07.
2025-06-04 | run-419 | LightGBM | cifar10-subset-v2 | SGD+momentum, learning_rate=3e-4, batch=128, epochs=20 | val accuracy 0.9212 | валидация стабильна между эпохами, переобучения не видно.
2025-06-04 | run-420 | ViT-S/16 | digits-aug | SGD+momentum, lr=3e-4, batch=256, epochs=20 | val accuracy 0.8328 | loss на валидации немного шумит после 15-й эпохи.
2025-06-05 | run-421 | ViT-S/16 | digits-aug | SGD+momentum, lr=1e-3, batch=256, epochs=50 | val accuracy 0.9482 | памяти GPU хватает с запасом, можно увеличить batch.
2025-06-05 | run-422 | ViT-S/16 | cifar10-subset-v2 | AdamW, lr=3e-4, batch=256, epochs=20 | val accuracy 0.9222 | ранняя остановка сработала раньше лимита эпох.
2025-06-05 | run-423 | ViT-S/16 | cifar10-subset-v2 | AdamW, lr=0.1, batch=64, epochs=50 | val accuracy 0.8526 | повторить с другим сидом для оценки разброса.
2025-06-05 | run-424 | MLP-3x256 | cifar10-subset-v2 | SGD+momentum, lr=3e-4, batch=256, epochs=50 | val accuracy 0.9552 | памяти GPU хватает с запасом, можно увеличить batch.
2025-06-06 | run-425 | ResNet-18 | cifar10-subset-v2 | SGD+momentum, lr=5e-4, batch=128, epochs=20 | val accuracy 0.8889 | памяти GPU хватает с запасом, можно увеличить batch.
2025-06-06 | run-426 | MLP-3x256 | cifar10-subset-v2 | SGD+momentum, lr=1e-3, batch=256, epochs=20 | val accuracy 0.9574 | повторить с другим сидом для оценки разброса.
2025-06-06 | run-427 | MLP-3x256 | cifar10-subset-v2 | SGD+momentum, lr=0.1, batch=64, epochs=50 | val accuracy 0.8322 | валидация стабильна между эпохами, переобучения не видно.
2025-06-09 | run-428 | MLP-3x256 | tabular-credit | AdamW, lr=5e-4, batch=128, epochs=50 | val accuracy 0.9375 | ранняя остановка сработала раньше лимита эпох.
2025-06-09 | run-429 | ViT-S/16 | digits-aug | AdamW, lr=1e-3, batch=128, epochs=50 | val accuracy 0.8504 | ранняя остановка сработала раньше лимита эпох.
2025-06-09 | run-430 | ViT-S/16 | cifar10-subset-v2 | SGD+momentum, lr=1e-3, batch=128, epochs=20 | val accuracy 0.8161 | результат в пределах разброса предыдущих запусков.
2025-06-10 | run-431 | ResNet-18 | cifar10-subset-v2 | AdamW, lr=1e-3, batch=256, epochs=30 | val accuracy 0.9731 | ранняя остановка сработала раньше лимита эпох.
2025-06-10 | run-432 | ResNet-18 | digits-aug | AdamW, lr=0.1, batch=128, epochs=20 | val accuracy 0.8328 | время эпохи в норме, узел gpu-07.
2025-06-10 | run-433 | ResNet-18 | digits-aug | AdamW, lr=0.1, batch=256, epochs=50 | val accuracy 0.8952 | ранняя остановка сработала раньше лимита эпох.
2025-06-11 | run-434 | LightGBM | tabular-credit | AdamW, learning_rate=5e-4, batch=64, epochs=50 | val accuracy 0.857 | без замечаний, кривые обучения ровные.
2025-06-11 | run-435 | ViT-S/16 | cifar10-subset-v2 | AdamW, lr=1e-3, batch=128, epochs=30 | val accuracy 0.8237 | валидация стабильна между эпохами, переобучения не видно.
2025-06-11 | run-436 | LightGBM | tabular-credit | SGD+momentum, learning_rate=5e-4, batch=256, epochs=50 | val accuracy 0.9218 | памяти GPU хватает с запасом, можно увеличить batch.
2025-06-11 | run-437 | ResNet-18 | tabular-credit | SGD+momentum, lr=0.1, batch=64, epochs=20 | val accuracy 0.9025 | повторить с другим сидом для оценки разброса.
2025-06-12 | run-438 | ViT-S/16 | tabular-credit | SGD+momentum, lr=3e-4, batch=256, epochs=30 | val accuracy 0.8853 | повторить с другим сидом для оценки разброса.
2025-06-12 | run-439 | ResNet-18 | tabular-credit | AdamW, lr=5e-4, batch=64, epochs=20 | val accuracy 0.9491 | памяти GPU хватает с запасом, можно увеличить batch.
2025-06-12 | run-440 | MLP-3x256 | digits-aug | SGD+momentum, lr=0.05, batch=128, epochs=20 | val accuracy 0.8059 | памяти GPU хватает с запасом, можно увеличить batch.
2025-06-12 | run-441 | ViT-S/16 | digits-aug | SGD+momentum, lr=5e-4, batch=64, epochs=50 | val accuracy 0.8256 | ранняя остановка сработала раньше лимита эпох.
2025-06-13 | run-442 | ViT-S/16 | cifar10-subset-v2 | AdamW, lr=3e-4, batch=256, epochs=30 | val accuracy 0.8728 | повторить с другим сидом для оценки разброса.
2025-06-13 | run-443 | ResNet-18 | cifar10-subset-v2 | SGD+momentum, lr=0.1, batch=128, epochs=50 | val accuracy 0.8141 | валидация стабильна между эпохами, переобучения не видно.
2025-06-13 | run-444 | ResNet-18 | cifar10-subset-v2 | AdamW, lr=1e-3, batch=256, epochs=50 | val accuracy 0.942 | валидация стабильна между эпохами, переобучения не видно.
2025-06-16 | run-445 | LightGBM | tabular-credit | SGD+momentum, learning_rate=3e-4, batch=64, epochs=50 | val accuracy 0.8392 | повторить с другим сидом для оценки разброса.
2025-06-16 | run-446 | MLP-3x256 | digits-aug | AdamW, lr=1e-3, batch=256, epochs=50 | val accuracy 0.8374 | повторить с другим сидом для оценки разброса.
2025-06-16 | run-447 | ViT-S/16 | digits-aug | AdamW, lr=1e-3, batch=64, epochs=30 | val accuracy 0.8174 | результат в пределах разброса предыдущих запусков.
2025-06-16 | run-448 | LightGBM | cifar10-subset | AdamW, learning_rate=3e-4, batch=128, epochs=20 | val accuracy 0.9365 | loss на валидации немного шумит после 15-й эпохи.
2025-06-17 | run-449 | LightGBM | tabular-credit | AdamW, learning_rate=5e-4, batch=64, epochs=20 | val accuracy 0.9077 | повторить с другим сидом для оценки разброса.
2025-06-17 | run-450 | ViT-S/16 | cifar10-subset | SGD+momentum, lr=5e-4, batch=64, epochs=30 | val accuracy 0.9607 | ранняя остановка сработала раньше лимита эпох.
2025-06-17 | run-451 | ViT-S/16 | digits-aug | SGD+momentum, lr=3e-4, batch=128, epochs=50 | val accuracy 0.8492 | памяти GPU хватает с запасом, можно увеличить batch.
2025-06-18 | run-452 | LightGBM | tabular-credit | AdamW, learning_rate=5e-4, batch=64, epochs=30 | val accuracy 0.8239 | результат в пределах разброса предыдущих запусков.
2025-06-18 | run-453 | ResNet-18 | tabular-credit | SGD+momentum, lr=0.05, batch=256, epochs=50 | val accuracy 0.9009 | время эпохи в норме, узел gpu-07.
2025-06-18 | run-454 | ViT-S/16 | tabular-credit | AdamW, lr=0.05, batch=64, epochs=30 | val accuracy 0.9168 | результат в пределах разброса предыдущих запусков.
2025-06-19 | run-455 | MLP-3x256 | cifar10-subset-v2 | SGD+momentum, lr=5e-4, batch=64, epochs=50 | val accuracy 0.9568 | без замечаний, кривые обучения ровные.
2025-06-19 | run-456 | ViT-S/16 | cifar10-subset-v2 | AdamW, lr=1e-3, batch=128, epochs=50 | val accuracy 0.872 | время эпохи в норме, узел gpu-07.
2025-06-19 | run-457 | LightGBM | cifar10-subset-v2 | AdamW, learning_rate=1e-3, batch=256, epochs=30 | val accuracy 0.8412 | результат в пределах разброса предыдущих запусков.
2025-06-20 | run-458 | LightGBM | cifar10-subset-v2 | SGD+momentum, learning_rate=0.05, batch=64, epochs=20 | val accuracy 0.8602 | результат в пределах разброса предыдущих запусков.
2025-06-20 | run-459 | ViT-S/16 | cifar10-subset-v2 | SGD+momentum, lr=0.05, batch=256, epochs=50 | val accuracy 0.8392 | валидация стабильна между эпохами, переобучения не видно.
2025-06-20 | run-460 | MLP-3x256 | cifar10-subset-v2 | SGD+momentum, lr=0.1, batch=128, epochs=50 | val accuracy 0.8281 | валидация стабильна между эпохами, переобучения не видно.
2025-06-23 | run-461 | ResNet-18 | cifar10-subset | AdamW, lr=5e-4, batch=128, epochs=20 | val accuracy 0.9243 | время эпохи в норме, узел gpu-07.
2025-06-23 | run-462 | LightGBM | digits-aug | SGD+momentum, learning_rate=5e-4, batch=128, epochs=30 | val accuracy 0.8901 | без замечаний, кривые обучения ровные.
2025-06-23 | run-463 | ResNet-18 | cifar10-subset-v2 | SGD+momentum, lr=3e-4, batch=64, epochs=50 | val accuracy 0.8516 | памяти GPU хватает с запасом, можно увеличить batch.
2025-06-24 | run-464 | ResNet-18 | tabular-credit | AdamW, lr=3e-4, batch=64, epochs=50 | val accuracy 0.952 | повторить с другим сидом для оценки разброса.
2025-06-24 | run-465 | MLP-3x256 | cifar10-subset-v2 | SGD+momentum, lr=5e-4, batch=256, epochs=20 | val accuracy 0.9492 | результат в пределах разброса предыдущих запусков.
2025-06-25 | run-466 | MLP-3x256 | cifar10-subset-v2 | AdamW, lr=1e-3, batch=256, epochs=30 | val accuracy 0.8511 | время эпохи в норме, узел gpu-07.
2025-06-25 | run-467 | LightGBM | cifar10-subset | SGD+momentum, learning_rate=0.1, batch=128, epochs=20 | val accuracy 0.8833 | ранняя остановка сработала раньше лимита эпох.
2025-06-26 | run-468 | MLP-3x256 | digits-aug | AdamW, lr=5e-4, batch=128, epochs=30 | val accuracy 0.8572 | результат в пределах разброса предыдущих запусков.
2025-06-26 | run-469 | LightGBM | cifar10-subset-v2 | AdamW, learning_rate=3e-4, batch=128, epochs=30 | val accuracy 0.945 | без замечаний, кривые обучения ровные.
2025-06-27 | run-470 | MLP-3x256 | digits-aug | SGD+momentum, lr=3e-4, batch=64, epochs=30 | val accuracy 0.8035 | повторить с другим сидом для оценки разброса.
2025-06-27 | run-471 | ViT-S/16 | digits-aug | SGD+momentum, lr=0.1, batch=128, epochs=30 | val accuracy 0.8219 | результат в пределах разброса предыдущих запусков.
2025-06-27 | run-472 | MLP-3x256 | cifar10-subset-v2 | AdamW, lr=0.1, batch=128, epochs=20 | val accuracy 0.8337 | валидация стабильна между эпохами, переобучения не видно.
2025-06-30 | run-473 | LightGBM | cifar10-subset-v2 | SGD+momentum, learning_rate=1e-3, batch=256, epochs=50 | val accuracy 0.8899 | loss на валидации немного шумит после 15-й эпохи.
2025-06-30 | run-474 | ResNet-18 | cifar10-subset-v2 | SGD+momentum, lr=0.05, batch=256, epochs=50 | val accuracy 0.8741 | памяти GPU хватает с запасом, можно увеличить batch.
2025-06-30 | run-475 | ResNet-18 | cifar10-subset | SGD+momentum, lr=0.05, batch=128, epochs=50 | val accuracy 0.9062 | время эпохи в норме, узел gpu-07.
2025-06-30 | run-476 | LightGBM | cifar10-subset-v2 | SGD+momentum, learning_rate=0.1, batch=128, epochs=50 | val accuracy 0.8001 | памяти GPU хватает с запасом, можно увеличить batch.
2025-07-01 | run-477 | ViT-S/16 | cifar10-subset-v2 | SGD+momentum, lr=0.05, batch=256, epochs=50 | val accuracy 0.9178 | памяти GPU хватает с запасом, можно увеличить batch.
2025-07-01 | run-478 | MLP-3x256 | tabular-credit | SGD+momentum, lr=0.1, batch=64, epochs=30 | val accuracy 0.9066 | без замечаний, кривые обучения ровные.
2025-07-01 | run-479 | MLP-3x256 | cifar10-subset-v2 | SGD+momentum, lr=5e-4, batch=64, epochs=30 | val accuracy 0.8109 | время эпохи в норме, узел gpu-07.
2025-07-01 | run-480 | MLP-3x256 | cifar10-subset-v2 | SGD+momentum, lr=3e-4, batch=128, epochs=20 | val accuracy 0.8302 | валидация стабильна между эпохами, переобучения не видно.
2025-07-02 | run-481 | ResNet-18 | cifar10-subset-v2 | AdamW, lr=1e-3, batch=256, epochs=30 | val accuracy 0.9079 | ранняя остановка сработала раньше лимита эпох.
2025-07-02 | run-482 | ViT-S/16 | cifar10-subset-v2 | SGD+momentum, lr=5e-4, batch=64, epochs=20 | val accuracy 0.9581 | результат в пределах разброса предыдущих запусков.
2025-07-02 | run-483 | ViT-S/16 | cifar10-subset | AdamW, lr=0.05, batch=128, epochs=50 | val accuracy 0.9344 | памяти GPU хватает с запасом, можно увеличить batch.
2025-07-03 | run-484 | MLP-3x256 | cifar10-subset-v2 | SGD+momentum, lr=5e-4, batch=64, epochs=20 | val accuracy 0.9254 | памяти GPU хватает с запасом, можно увеличить batch.
2025-07-03 | run-485 | ViT-S/16 | tabular-credit | SGD+momentum, lr=0.1, batch=128, epochs=20 | val accuracy 0.953 | ранняя остановка сработала раньше лимита эпох.
2025-07-03 | run-486 | ResNet-18 | cifar10-subset-v2 | AdamW, lr=5e-4, batch=128, epochs=20 | val accuracy 0.8012 | без замечаний, кривые обучения ровные.
2025-07-04 | run-487 | ResNet-18 | cifar10-subset-v2 | AdamW, lr=0.05, batch=256, epochs=20 | val accuracy 0.9071 | без замечаний, кривые обучения ровные.
2025-07-04 | run-488 | ViT-S/16 | cifar10-subset | AdamW, lr=0.1, batch=64, epochs=20 | val accuracy 0.9282 | валидация стабильна между эпохами, переобучения не видно.
2025-07-07 | run-489 | MLP-3x256 | cifar10-subset-v2 | SGD+momentum, lr=0.05, batch=256, epochs=20 | val accuracy 0.9629 | валидация стабильна между эпохами, переобучения не видно.
2025-07-07 | run-490 | ViT-S/16 | digits-aug | SGD+momentum, lr=0.1, batch=256, epochs=50 | val accuracy 0.8215 | без замечаний, кривые обучения ровные.
2025-07-07 | run-491 | ViT-S/16 | cifar10-subset-v2 | SGD+momentum, lr=5e-4, batch=128, epochs=50 | val accuracy 0.8872 | ранняя остановка сработала раньше лимита эпох.
2025-07-07 | run-492 | LightGBM | cifar10-subset-v2 | AdamW, learning_rate=3e-4, batch=128, epochs=50 | val accuracy 0.8998 | памяти GPU хватает с запасом, можно увеличить batch.
2025-07-08 | run-493 | LightGBM | cifar10-subset-v2 | AdamW, learning_rate=3e-4, batch=256, epochs=50 | val accuracy 0.8425 | время эпохи в норме, узел gpu-07.
2025-07-08 | run-494 | ViT-S/16 | cifar10-subset-v2 | SGD+momentum, lr=0.05, batch=128, epochs=30 | val accuracy 0.91 | повторить с другим сидом для оценки разброса.
2025-07-08 | run-495 | ResNet-18 | cifar10-subset-v2 | SGD+momentum, lr=5e-4, batch=256, epochs=20 | val accuracy 0.833 | результат в пределах разброса предыдущих запусков.
2025-07-09 | run-496 | LightGBM | cifar10-subset-v2 | AdamW, learning_rate=0.1, batch=64, epochs=30 | val accuracy 0.9107 | ранняя остановка сработала раньше лимита эпох.
2025-07-09 | run-497 | ResNet-18 | tabular-credit | SGD+momentum, lr=1e-3, batch=64, epochs=30 | val accuracy 0.9052 | без замечаний, кривые обучения ровные.
2025-07-09 | run-498 | MLP-3x256 | cifar10-subset | SGD+momentum, lr=1e-3, batch=128, epochs=50 | val accuracy 0.9228 | валидация стабильна между эпохами, переобучения не видно.
2025-07-10 | run-499 | MLP-3x256 | cifar10-subset-v2 | SGD+momentum, lr=3e-4, batch=256, epochs=20 | val accuracy 0.9082 | памяти GPU хватает с запасом, можно увеличить batch.
2025-07-10 | run-500 | LightGBM | digits-aug | AdamW, learning_rate=3e-4, batch=256, epochs=50 | val accuracy 0.8821 | валидация стабильна между эпохами, переобучения не видно.
2025-07-10 | run-501 | MLP-3x256 | cifar10-subset-v2 | AdamW, lr=5e-4, batch=256, epochs=20 | val accuracy 0.8009 | loss на валидации немного шумит после 15-й эпохи.
2025-07-11 | run-502 | MLP-3x256 | cifar10-subset-v2 | AdamW, lr=1e-3, batch=64, epochs=30 | val accuracy 0.9061 | результат в пределах разброса предыдущих запусков.
2025-07-11 | run-503 | LightGBM | tabular-credit | SGD+momentum, learning_rate=1e-3, batch=64, epochs=30 | val accuracy 0.9273 | loss на валидации немного шумит после 15-й эпохи.
2025-07-11 | run-504 | ViT-S/16 | cifar10-subset-v2 | AdamW, lr=0.05, batch=64, epochs=50 | val accuracy 0.9261 | время эпохи в норме, узел gpu-07.
2025-07-14 | run-505 | MLP-3x256 | cifar10-subset | AdamW, lr=0.05, batch=128, epochs=50 | val accuracy 0.8629 | время эпохи в норме, узел gpu-07.
2025-07-14 | run-506 | LightGBM | cifar10-subset-v2 | AdamW, learning_rate=0.1, batch=256, epochs=20 | val accuracy 0.8004 | валидация стабильна между эпохами, переобучения не видно.
2025-07-14 | run-507 | ViT-S/16 | cifar10-subset-v2 | SGD+momentum, lr=5e-4, batch=256, epochs=30 | val accuracy 0.8861 | loss на валидации немного шумит после 15-й эпохи.
2025-07-14 | run-508 | MLP-3x256 | cifar10-subset-v2 | AdamW, lr=5e-4, batch=128, epochs=30 | val accuracy 0.8999 | памяти GPU хватает с запасом, можно увеличить batch.
2025-07-15 | run-509 | ResNet-18 | cifar10-subset-v2 | AdamW, lr=0.05, batch=256, epochs=30 | val accuracy 0.8449 | без замечаний, кривые обучения ровные.
2025-07-15 | run-510 | ResNet-18 | cifar10-subset-v2 | AdamW, lr=5e-4, batch=64, epochs=20 | val accuracy 0.9176 | результат в пределах разброса предыдущих запусков.
2025-07-15 | run-511 | MLP-3x256 | tabular-credit | SGD+momentum, lr=0.1, batch=256, epochs=50 | val accuracy 0.8734 | результат в пределах разброса предыдущих запусков.
2025-07-15 | run-512 | ViT-S/16 | cifar10-subset | SGD+momentum, lr=3e-4, batch=64, epochs=20 | val accuracy 0.8508 | валидация стабильна между эпохами, переобучения не видно.
2025-07-16 | run-513 | MLP-3x256 | tabular-credit | SGD+momentum, lr=0.05, batch=64, epochs=30 | val accuracy 0.9419 | памяти GPU хватает с запасом, можно увеличить batch.
2025-07-16 | run-514 | MLP-3x256 | cifar10-subset-v2 | AdamW, lr=1e-3, batch=256, epochs=30 | val accuracy 0.8595 | ранняя остановка сработала раньше лимита эпох.
2025-07-16 | run-515 | ResNet-18 | cifar10-subset-v2 | AdamW, lr=0.1, batch=64, epochs=30 | val accuracy 0.823 | время эпохи в норме, узел gpu-07.
2025-07-17 | run-516 | ResNet-18 | cifar10-subset-v2 | AdamW, lr=0.1, batch=64, epochs=50 | val accuracy 0.8864 | результат в пределах разброса предыдущих запусков.
2025-07-17 | run-517 | ViT-S/16 | cifar10-subset | SGD+momentum, lr=5e-4, batch=128, epochs=30 | val accuracy 0.9518 | без замечаний, кривые обучения ровные.
2025-07-18 | run-518 | ResNet-18 | digits-aug | AdamW, lr=5e-4, batch=256, epochs=30 | val accuracy 0.9085 | повторить с другим сидом для оценки разброса.
2025-07-18 | run-519 | ResNet-18 | tabular-credit | SGD+momentum, lr=0.05, batch=64, epochs=30 | val accuracy 0.9044 | памяти GPU хватает с запасом, можно увеличить batch.
2025-07-18 | run-520 | MLP-3x256 | cifar10-subset-v2 | SGD+momentum, lr=0.05, batch=64, epochs=30 | val accuracy 0.824 | время эпохи в норме, узел gpu-07.
2025-07-21 | run-521 | ResNet-18 | tabular-credit | SGD+momentum, lr=5e-4, batch=128, epochs=30 | val accuracy 0.8481 | время эпохи в норме, узел gpu-07.
2025-07-21 | run-522 | ViT-S/16 | cifar10-subset-v2 | AdamW, lr=5e-4, batch=128, epochs=20 | val accuracy 0.9325 | валидация стабильна между эпохами, переобучения не видно.
2025-07-21 | run-523 | MLP-3x256 | cifar10-subset | AdamW, lr=5e-4, batch=128, epochs=50 | val accuracy 0.8269 | валидация стабильна между эпохами, переобучения не видно.
2025-07-22 | run-524 | MLP-3x256 | cifar10-subset-v2 | SGD+momentum, lr=5e-4, batch=64, epochs=20 | val accuracy 0.855 | памяти GPU хватает с запасом, можно увеличить batch.
2025-07-22 | run-525 | ViT-S/16 | cifar10-subset-v2 | AdamW, lr=0.05, batch=64, epochs=50 | val accuracy 0.9582 | памяти GPU хватает с запасом, можно увеличить batch.
2025-07-23 | run-526 | ResNet-18 | cifar10-subset-v2 | AdamW, lr=0.05, batch=256, epochs=20 | val accuracy 0.8765 | повторить с другим сидом для оценки разброса.
2025-07-23 | run-527 | ResNet-18 | cifar10-subset | AdamW, lr=0.05, batch=64, epochs=30 | val accuracy 0.9002 | валидация стабильна между эпохами, переобучения не видно.
2025-07-24 | run-528 | ViT-S/16 | tabular-credit | SGD+momentum, lr=3e-4, batch=256, epochs=30 | val accuracy 0.8876 | loss на валидации немного шумит после 15-й эпохи.
2025-07-24 | run-529 | ViT-S/16 | tabular-credit | SGD+momentum, lr=3e-4, batch=256, epochs=20 | val accuracy 0.9512 | время эпохи в норме, узел gpu-07.
2025-07-25 | run-530 | MLP-3x256 | digits-aug | AdamW, lr=5e-4, batch=128, epochs=30 | val accuracy 0.8852 | без замечаний, кривые обучения ровные.
2025-07-25 | run-531 | ViT-S/16 | cifar10-subset-v2 | SGD+momentum, lr=3e-4, batch=64, epochs=20 | val accuracy 0.9534 | результат в пределах разброса предыдущих запусков.
2025-07-25 | run-532 | MLP-3x256 | cifar10-subset-v2 | AdamW, lr=1e-3, batch=64, epochs=20 | val accuracy 0.8532 | loss на валидации немного шумит после 15-й эпохи.
2025-07-28 | run-533 | LightGBM | digits-aug | SGD+momentum, learning_rate=0.1, batch=128, epochs=30 | val accuracy 0.9627 | без замечаний, кривые обучения ровные.
2025-07-28 | run-534 | ViT-S/16 | cifar10-subset-v2 | AdamW, lr=5e-4, batch=64, epochs=20 | val accuracy 0.8726 | результат в пределах разброса предыдущих запусков.
2025-07-28 | run-535 | MLP-3x256 | tabular-credit | SGD+momentum, lr=3e-4, batch=128, epochs=20 | val accuracy 0.9648 | без замечаний, кривые обучения ровные.
2025-07-28 | run-536 | MLP-3x256 | cifar10-subset | AdamW, lr=0.1, batch=64, epochs=20 | val accuracy 0.9402 | без замечаний, кривые обучения ровные.
2025-07-29 | run-537 | LightGBM | cifar10-subset | AdamW, learning_rate=3e-4, batch=128, epochs=30 | val accuracy 0.9208 | loss на валидации немного шумит после 15-й эпохи.
2025-07-29 | run-538 | MLP-3x256 | cifar10-subset-v2 | AdamW, lr=0.1, batch=256, epochs=20 | val accuracy 0.9216 | результат в пределах разброса предыдущих запусков.
2025-07-29 | run-539 | ResNet-18 | cifar10-subset-v2 | AdamW, lr=1e-3, batch=64, epochs=30 | val accuracy 0.8955 | памяти GPU хватает с запасом, можно увеличить batch.
2025-07-30 | run-540 | MLP-3x256 | cifar10-subset-v2 | SGD+momentum, lr=0.05, batch=128, epochs=50 | val accuracy 0.8544 | памяти GPU хватает с запасом, можно увеличить batch.
2025-07-30 | run-541 | MLP-3x256 | tabular-credit | SGD+momentum, lr=5e-4, batch=128, epochs=50 | val accuracy 0.9534 | без замечаний, кривые обучения ровные.
2025-07-30 | run-542 | ViT-S/16 | digits-aug | SGD+momentum, lr=5e-4, batch=256, epochs=50 | val accuracy 0.8665 | повторить с другим сидом для оценки разброса.
2025-07-31 | run-543 | MLP-3x256 | cifar10-subset-v2 | AdamW, lr=0.1, batch=64, epochs=20 | val accuracy 0.9553 | памяти GPU хватает с запасом, можно увеличить batch.
2025-07-31 | run-544 | ViT-S/16 | cifar10-subset | SGD+momentum, lr=1e-3, batch=64, epochs=30 | val accuracy 0.8794 | повторить с другим сидом для оценки разброса.
2025-07-31 | run-545 | ResNet-18 | cifar10-subset | AdamW, lr=1e-3, batch=256, epochs=20 | val accuracy 0.9303 | повторить с другим сидом для оценки разброса.
2025-08-01 | run-546 | ViT-S/16 | tabular-credit | AdamW, lr=1e-3, batch=64, epochs=30 | val accuracy 0.8621 | время эпохи в норме, узел gpu-07.
2025-08-01 | run-547 | ViT-S/16 | digits-aug | SGD+momentum, lr=0.1, batch=64, epochs=30 | val accuracy 0.8474 | валидация стабильна между эпохами, переобучения не видно.
2025-08-01 | run-548 | ViT-S/16 | cifar10-subset | AdamW, lr=5e-4, batch=256, epochs=30 | val accuracy 0.8455 | повторить с другим сидом для оценки разброса.
2025-08-04 | run-549 | LightGBM | cifar10-subset | SGD+momentum, learning_rate=1e-3, batch=128, epochs=30 | val accuracy 0.8103 | время эпохи в норме, узел gpu-07.
2025-08-04 | run-550 | LightGBM | digits-aug | AdamW, learning_rate=5e-4, batch=256, epochs=30 | val accuracy 0.8108 | памяти GPU хватает с запасом, можно увеличить batch.
2025-08-04 | run-551 | ViT-S/16 | cifar10-subset-v2 | AdamW, lr=5e-4, batch=64, epochs=50 | val accuracy 0.8547 | памяти GPU хватает с запасом, можно увеличить batch.
2025-08-04 | run-552 | MLP-3x256 | cifar10-subset-v2 | AdamW, lr=3e-4, batch=256, epochs=30 | val accuracy 0.9212 | результат в пределах разброса предыдущих запусков.
2025-08-05 | run-553 | MLP-3x256 | tabular-credit | SGD+momentum, lr=5e-4, batch=64, epochs=30 | val accuracy 0.8048 | валидация стабильна между эпохами, переобучения не видно.
2025-08-05 | run-554 | ViT-S/16 | tabular-credit | SGD+momentum, lr=5e-4, batch=128, epochs=30 | val accuracy 0.9001 | без замечаний, кривые обучения ровные.
2025-08-06 | run-555 | ViT-S/16 | cifar10-subset-v2 | AdamW, lr=5e-4, batch=256, epochs=20 | val accuracy 0.9405 | валидация стабильна между эпохами, переобучения не видно.
2025-08-06 | run-556 | MLP-3x256 | digits-aug | SGD+momentum, lr=0.1, batch=64, epochs=30 | val accuracy 0.9059 | loss на валидации немного шумит после 15-й эпохи.
2025-08-06 | run-557 | ViT-S/16 | digits-aug | SGD+momentum, lr=0.1, batch=64, epochs=20 | val accuracy 0.8278 | время эпохи в норме, узел gpu-07.
2025-08-07 | run-558 | ViT-S/16 | cifar10-subset-v2 | AdamW, lr=1e-3, batch=128, epochs=30 | val accuracy 0.9309 | памяти GPU хватает с запасом, можно увеличить batch.
2025-08-07 | run-559 | LightGBM | tabular-credit | AdamW, learning_rate=5e-4, batch=128, epochs=20 | val accuracy 0.9441 | результат в пределах разброса предыдущих запусков.
2025-08-08 | run-560 | MLP-3x256 | tabular-credit | AdamW, lr=0.1, batch=64, epochs=20 | val accuracy 0.8576 | памяти GPU хватает с запасом, можно увеличить batch.
2025-08-08 | run-561 | ViT-S/16 | cifar10-subset | SGD+momentum, lr=0.05, batch=128, epochs=50 | val accuracy 0.8255 | повторить с другим сидом для оценки разброса.
2025-08-11 | run-562 | ResNet-18 | cifar10-subset | AdamW, lr=0.05, batch=64, epochs=50 | val accuracy 0.8679 | время эпохи в норме, узел gpu-07.
2025-08-11 | run-563 | ResNet-18 | cifar10-subset-v2 | SGD+momentum, lr=0.1, batch=64, epochs=20 | val accuracy 0.9182 | повторить с другим сидом для оценки разброса.
2025-08-11 | run-564 | ResNet-18 | tabular-credit | SGD+momentum, lr=3e-4, batch=128, epochs=20 | val accuracy 0.8885 | без замечаний, кривые обучения ровные.
2025-08-11 | run-565 | ResNet-18 | cifar10-subset | SGD+momentum, lr=3e-4, batch=256, epochs=50 | val accuracy 0.886 | валидация стабильна между эпохами, переобучения не видно.
2025-08-12 | run-566 | LightGBM | cifar10-subset | SGD+momentum, learning_rate=5e-4, batch=64, epochs=50 | val accuracy 0.9476 | памяти GPU хватает с запасом, можно увеличить batch.
2025-08-12 | run-567 | ResNet-18 | tabular-credit | AdamW, lr=5e-4, batch=128, epochs=20 | val accuracy 0.9589 | памяти GPU хватает с запасом, можно увеличить batch.
2025-08-12 | run-568 | ViT-S/16 | cifar10-subset-v2 | AdamW, lr=0.1, batch=128, epochs=20 | val accuracy 0.95 | ранняя остановка сработала раньше лимита эпох.
